company_name,letter_date,application_number,product_type,file_name,ticker,market_reaction_date,announcement_time,market_cap_group,alive_ticker,keep_for_v2,exclude_reason,verification_notes
"Accord BioPharma, Inc.",08/05/2025,BLA 761147,COMPLETE RESPONSE,CRL_BLA761147_20250805.pdf,,,,,,,,
Alvotech USA Inc.,10/31/2025,BLA 761462,COMPLETE RESPONSE,CRL_BLA761462_20251031.pdf,,,,,,,,
"Atara Biotherapeutics, Inc.",01/15/2025,BL 125745,COMPLETE RESPONSE,CRL_BLA125745_20250115.pdf,,,,,,,,
ResQ Pharma,06/02/2025,NDA 217382,COMPLETE RESPONSE,CRL_NDA217382_20250602.pdf,,,,,,,,
"OWP Pharmaceuticals, Inc.",01/03/2025,NDA 218879,COMPLETE RESPONSE,CRL_NDA218879_20250103.pdf,,,,,,,,
"NeuroDerm, Ltd.",10/21/2025,NDA 218317,COMPLETE RESPONSE,CRL_NDA218317_20251021.pdf,,,,,,,,
Accord BioPharma Inc.,06/26/2025,BLA 761027,COMPLETE RESPONSE,CRL_BLA761027_20250626.pdf,,,,,,,,
Conjupro Biotherapeutics Inc.,07/30/2025,NDA 218923,COMPLETE RESPONSE,CRL_NDA218923_20250730.pdf,,,,,,,,
Immedica Pharma AB,08/06/2025,BLA 761211,COMPLETE RESPONSE,CRL_BLA761211_20250806.pdf,,,,,,,,
Seikagaku Corporation,03/11/2025,BLA 761393,COMPLETE RESPONSE,CRL_BLA761393_20250311.pdf,,,,,,,,
"Milestone Pharmaceuticals USA, Inc.",03/27/2025,NDA 218571,COMPLETE RESPONSE,CRL_NDA218571_20250327.pdf,,,,,,,,
"Tanvex BioPharma USA, Inc.",01/03/2025,BLA 761266,COMPLETE RESPONSE,CRL_BLA761266_20250103.pdf,,,,,,,,
Alvotech USA Inc.,11/24/2025,BLA 761435,COMPLETE RESPONSE,CRL_BLA761435_20251124.pdf,,,,,,,,
AstraZeneca Pharmaceuticals LP,10/10/2025,BLA 761451,COMPLETE RESPONSE,CRL_BLA761451_20251010.pdf,,,,,,,,
"SFJ Pharmaceuticals, Inc.",01/31/2025,BLA 761290,COMPLETE RESPONSE,CRL_BLA761290_20250131.pdf,,,,,,,,
"CELLTRION, Inc.",03/26/2025,BLA 761377,COMPLETE RESPONSE,CRL_BLA761377_20250326.pdf,,,,,,,,
"Aldeyra Therapeutics, Inc.",04/02/2025,NDA 216442,COMPLETE RESPONSE,CRL_NDA216442_20250402.pdf,,,,,,,,
Accord BioPharma Inc.,03/13/2025,BLA 761424,COMPLETE RESPONSE,CRL_BLA761424_20250313.pdf,,,,,,,,
"Replimune, Inc.",07/21/2025,BL 125827,COMPLETE RESPONSE,CRL_BLA125827_20250721.pdf,,,,,,,,
Sun Pharmaceutical Industries Limited,06/25/2025,NDA 215644,COMPLETE RESPONSE,CRL_NDA215644_20250625.pdf,,,,,,,,
